frame,t_sec,text,ocr_conf,cls,damage,mult,bbox_x,bbox_y,bbox_w,bbox_h,mult_tokens,rgb_r,rgb_g,rgb_b,r_over_g,colour_class
7,694.0,5181 (x1.67),1.0,crit,5181,1.67,0.37047,0.5201,0.05702,0.02181,1.67,240.5,226.4,180.1,1.062,cream_dealt
7,694.0,4513,1.0,bare,4513,,0.51453,0.51421,0.0189,0.01292,,208.1,194.4,189.0,1.071,cream_dealt
7,694.0,"(198,0020278,543)",1.0,other,,,0.49564,0.36434,0.09302,0.0155,,235.1,235.2,227.1,0.999,neutral
7,694.0,7005,1.0,bare,7005,,0.4375,0.31525,0.01599,0.01292,,190.6,186.1,172.4,1.024,cream_dealt
7,694.0,18925,1.0,bare,18925,,0.44186,0.30233,0.0218,0.0155,,200.0,192.7,184.3,1.038,cream_dealt
7,694.0,7982,1.0,bare,7982,,0.43314,0.28941,0.01599,0.01292,,188.2,182.6,166.1,1.031,cream_dealt
7,694.0,1571 (x1.67),1.0,crit,1571,1.67,0.54215,0.28682,0.06831,0.02067,1.67,243.5,234.8,180.1,1.037,cream_dealt
7,694.0,19222/20005,1.0,health_readout,,,0.30233,0.05426,0.05233,0.0155,,230.7,227.1,219.7,1.016,neutral
7,694.0,100,1.0,hud,100,,0.48983,0.05685,0.0189,0.0155,,246.0,205.3,98.4,1.198,cream_dealt
7,694.0,1369/2576,1.0,health_readout,,,0.64971,0.05426,0.0436,0.0155,,233.3,240.0,237.4,0.972,neutral
7,694.0,Crucible of the Dead,1.0,other,,,0.89244,0.9713,0.09738,0.01852,,219.7,207.1,194.4,1.061,cream_dealt
7,694.0,Objectives,1.0,other,,,0.87351,0.68186,0.0553,0.01872,,229.0,171.4,96.5,1.336,cream_dealt
7,694.0,Dlant,0.5,other,,,0.45785,0.90181,0.02616,0.0155,,240.9,234.3,228.9,1.028,cream_dealt
7,694.0,"(153,1241272,948)",0.5,other,,,0.3935,0.47805,0.09237,0.03062,,221.0,204.4,174.6,1.081,cream_dealt
7,694.0,2071 (x1.77>1535,0.5,crit_garbled,,1.77,0.4186,0.34625,0.07994,0.02067,1.77,236.0,220.2,184.5,1.072,cream_dealt
7,694.0,O Eliminate all Enemies,0.5,other,,,0.87936,0.66111,0.08576,0.01589,,217.6,219.8,221.2,0.99,neutral
7,694.0,"(195,705/221,35%|",0.3,other,,,0.57994,0.93023,0.09593,0.02326,,209.7,204.8,197.7,1.024,cream_dealt
7,694.0,X1,0.3,other,,,0.82267,0.90439,0.0189,0.02067,,169.6,140.9,104.1,1.203,cream_dealt
7,694.0,"344182327.213/569,330),",0.3,other,,,0.44331,0.57106,0.11919,0.03101,,238.8,227.6,202.7,1.049,cream_dealt
7,694.0,72055,0.3,bare,72055,,0.46802,0.31783,0.01744,0.01292,,204.6,199.1,193.0,1.028,cream_dealt
8,696.0,Gladiator,1.0,other,,,0.0058,0.97406,0.04508,0.0157,,213.5,211.0,191.5,1.012,neutral
8,696.0,9:49:02 PM,1.0,other,,,0.00872,0.93796,0.07558,0.01852,,211.4,204.6,186.0,1.033,cream_dealt
