t_s,fire_red,chaos_magenta,vit_green,frost_blue,light_yellow,aether_teal,green_r0_60,sat_r0_60,green_r60_120,sat_r60_120,green_r120_200,sat_r120_200,green_r200_300,sat_r200_300,green_r300_450,sat_r300_450,green_r450_650,sat_r450_650
841.6667,0.03140625,0.00142892,0.00811198,0.00591966,0.00634066,0.00131607,0.02765432,0.09102881,0.0,0.17509877,0.0,0.29449771,0.0,0.26819928,0.00685516,0.0410572,0.03376929,0.08781417
841.7667,0.02962432,0.00105372,0.00780334,0.00577836,0.00319493,0.00131559,0.02765432,0.17283951,0.0,0.1316396,0.0,0.19711917,0.0,0.23143318,0.00832525,0.05006745,0.03172422,0.09150823
841.8667,0.02904562,0.00109664,0.00790557,0.00566213,0.00335069,0.00140818,0.02765432,0.15144033,0.0,0.089223,0.0,0.21654856,0.0,0.24515081,0.00897863,0.07093854,0.03166764,0.08119934
841.9667,0.03762153,0.00157359,0.00815779,0.00579861,0.00332851,0.00141831,0.02946502,0.06584362,0.0,0.14634548,0.0,0.28477143,5.928e-05,0.24906336,0.00962146,0.05240168,0.03418693,0.08531913
842.0667,0.04421827,0.00098235,0.00763841,0.00652922,0.00598621,0.00140095,0.03127572,0.19078189,0.00027436,0.18398815,0.0001621,0.28169145,4.742e-05,0.2217348,0.01037495,0.04437677,0.03166764,0.07798758
842.1667,0.05515721,0.00266059,0.00809558,0.00633102,0.00665895,0.00136429,0.03308642,0.20115226,0.0,0.25417032,2.316e-05,0.33518596,5.928e-05,0.26310111,0.01379463,0.12555853,0.03248674,0.09482508
842.2667,0.05754485,0.00108555,0.01029273,0.00649643,0.01664834,0.00117814,0.01152263,0.04839506,0.0,0.10914179,0.0,0.36524478,5.928e-05,0.28821256,0.02531299,0.08911183,0.03913121,0.11043391
842.3667,0.04702112,0.00108507,0.01338108,0.00651042,0.00441117,0.00126206,0.00674897,0.06485597,0.0,0.11479368,0.0,0.29984716,0.0,0.22938205,0.02159824,0.05627977,0.05824549,0.13881434
842.4667,0.04290702,0.0013749,0.01373167,0.00576196,0.00281346,0.0012799,0.00674897,0.05020576,0.00027436,0.09295435,0.0,0.26971886,0.0,0.20262259,0.01361021,0.05098955,0.05909963,0.12631488
842.5667,0.03154514,0.00111352,0.01526427,0.00563465,0.00284963,0.00132571,0.0018107,0.02502058,0.0,0.14475417,0.0,0.2658052,0.0,0.21140804,0.01366817,0.03953969,0.06460974,0.118951
842.6667,0.02731674,0.00098476,0.0153723,0.00623457,0.00258439,0.00132764,0.00115226,0.0854321,0.0,0.1941396,0.0,0.29901348,0.0,0.1799061,0.01324137,0.03712115,0.06952168,0.11400673
842.7667,0.0273669,0.0016387,0.01406202,0.00652537,0.0026794,0.0013778,0.00526749,0.15045267,0.0,0.15600307,0.0,0.27469779,0.0,0.19561557,0.02112401,0.0460102,0.06021782,0.11684396
842.8667,0.02723621,0.00207417,0.01400608,0.00738522,0.00309462,0.00161941,0.00115226,0.11242798,0.00021949,0.30218393,0.0,0.33625122,0.00475434,0.20494641,0.034397,0.06504763,0.05174384,0.10467861
842.9667,0.02734664,0.00184944,0.01190828,0.01207948,0.0031549,0.00286844,0.00049383,0.07259259,5.487e-05,0.28319798,0.00111157,0.36244268,0.0195746,0.22530352,0.02203031,0.05476753,0.04407818,0.09633396
843.0667,0.02838879,0.00163436,0.00880208,0.01429157,0.00337047,0.00319541,0.00131687,0.11226337,0.00076822,0.31749342,0.00131999,0.32094391,0.0110737,0.20569335,0.01522784,0.04866058,0.03227658,0.0871217
843.1667,0.02752845,0.00170284,0.00923949,0.01086661,0.00357253,0.00165606,0.0,0.17679012,0.0,0.31710931,0.00108842,0.29201982,0.00222897,0.16736223,0.01295684,0.0485552,0.03616195,0.09438589
843.2667,0.02628472,0.00142216,0.00864632,0.01078366,0.00322434,0.00173563,0.0,0.17366255,0.0,0.23073968,0.0,0.24878422,1.186e-05,0.14559423,0.01145513,0.04731168,0.03532128,0.09850028
