id,canonical_name,source_library,cultural_lineage_canonical,historical_period_canonical,named_mythological_match,cultural_lineage_tags
174383,"Bloodhound (missile)",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Surface-to-air missiles of the United Kingdom"", ""Rainbow code"", ""Ramjet-powered missiles""]"
175339,NASAMS,wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Kongsberg Gruppen"", ""Military equipment introduced in the 1990s"", ""Missile defense"", ""Self-propelled anti-aircraft weapons of the United States"", ""Surface-to-air missiles of Norway"", ""Surface-to-air missiles of the United States"", ""Weapons of Norway""]"
175441,"FNSS ACV-19",wikipedia,middle_eastern,unknown,"Heracles (greek, tier_1)","[""Tracked infantry fighting vehicles"", ""Armoured fighting vehicles of Turkey"", ""FNSS Defence Systems products""]"
176150,"MGM-134 Midgetman",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Intercontinental ballistic missiles of the United States"", ""Abandoned military rocket and missile projects of the United States""]"
176276,"Coventry armoured car",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""World War II armoured cars"", ""World War II armoured fighting vehicles of the United Kingdom"", ""Reconnaissance vehicles"", ""Armoured cars of the United Kingdom"", ""Military vehicles introduced from 1940 to 1944"", ""Rootes vehicles""]"
176975,"M88 recovery vehicle",wikipedia,southeast_asian,unknown,"Heracles (greek, tier_1)","[""Armoured recovery vehicles of the United States"", ""Tracked armoured recovery vehicles"", ""Armoured fighting vehicles of Australia"", ""United States Marine Corps equipment"", ""Military vehicles introduced in the 1960s""]"
181492,Hyunmoo-3,wikipedia,east_asian,unknown,"Heracles (greek, tier_1)","[""Air-launched cruise missiles"", ""Naval cruise missiles"", ""Surface-to-surface missiles"", ""Cruise missiles of South Korea"", ""Post\u2013Cold War weapons of South Korea"", ""Military equipment introduced in the 2000s""]"
187818,"High Velocity Aircraft Rocket",wikipedia,east_asian,unknown,"Heracles (greek, tier_1)","[""Air-to-ground rockets of the United States"", ""World War II weapons of the United States"", ""Weapons and ammunition introduced in 1944""]"
188637,"Chenowth Advanced Light Strike Vehicle",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Soft-skinned vehicles"", ""Military vehicles of the United States""]"
190235,"Nike Zeus",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Anti-ballistic missiles of the United States"", ""Anti-satellite missiles"", ""Cold War surface-to-air missiles of the United States"", ""Missile defense"", ""Project Nike""]"
190334,"General Dynamics Flyer",wikipedia,european,unknown,"Heracles (greek, tier_1)","[""Military trucks of the United States"", ""Special operations commands of the United States Armed Forces"", ""General Dynamics land vehicles"", ""Military vehicles introduced in the 2010s"", ""Post\u2013Cold War armored fighting vehicles of the United States"", ""Vehicles designed for aircraft carriage""]"
131,Indraastra,wikidata,unknown,unknown,"Indra (vedic_hindu, tier_1)","[""Weapons of Indra""]"
134,Anjalikastra,wikidata,unknown,unknown,"Indra (vedic_hindu, tier_1)","[""Weapons of Indra""]"
366,Vijaya,wikidata,unknown,unknown,"Indra (vedic_hindu, tier_1)","[""Bows (archery)"", ""Weapons in Hindu mythology"", ""Weapons of Indra""]"
385,vajra,wikidata,south_asian,unknown,"Indra (vedic_hindu, tier_1)","[""Ritual weapons"", ""Weapons in Buddhist mythology"", ""Weapons of India"", ""Weapons of Indra""]"
174145,Vajra,wikipedia,south_asian,unknown,"Indra (vedic_hindu, tier_1)","[""Buddhist ritual implements"", ""Buddhist symbols"", ""Magic items"", ""Ritual weapons"", ""Tibetan Buddhist ritual implements"", ""Vajrayana"", ""Weapons in Buddhist mythology"", ""Weapons of India"", ""Weapons of Indra""]"
182497,"21 cm Mörser 10",wikipedia,european,unknown,"Isis (egyptian, tier_1)","[""World War I howitzers"", ""World War I artillery of Germany"", ""210 mm artillery""]"
189505,"Type 73 light machine gun",wikipedia,east_asian,unknown,"Isis (egyptian, tier_1)","[""7.62\u00d754mmR machine guns"", ""Light machine guns"", ""Machine guns of North Korea"", ""Military equipment introduced in the 1970s""]"
207287,Print,royal_armouries,unknown,unknown,"John Hawkwood (european_medieval, tier_2)","[""place:England""]"
204328,"Wooden head",royal_armouries,unknown,unknown,"John of Gaunt (european_medieval, tier_2)",[]
4288,"Nagasone Kotetsu",wikidata,unknown,unknown,"Kotetsu (east_asian, tier_2)",
193457,"Tumbok lada",wikipedia,southeast_asian,unknown,"Lada (slavic, tier_1)","[""Culture of Indonesia"", ""Weapons of Indonesia"", ""Weapons of Malaysia""]"
5165,Aroundight,wikidata,unknown,unknown,"Lancelot (european_medieval, tier_1)",
176295,"ELVO Kentaurus",wikipedia,european,unknown,"Leonidas (greek, tier_2)","[""Armoured fighting vehicles of Greece"", ""Tracked infantry fighting vehicles""]"
