t_s,hp_cur,hp_max,hp_frac
677.8833,20005,20005,1.000000
677.9000,20005,20005,1.000000
677.9167,20005,20005,1.000000
677.9333,20005,20005,1.000000
677.9500,20005,20005,1.000000
677.9667,20005,20005,1.000000
677.9833,20005,20005,1.000000
678.0000,20005,20005,1.000000
678.0167,20005,20005,1.000000
678.0333,20005,20005,1.000000
678.0500,20005,20005,1.000000
678.0667,20005,20005,1.000000
678.0833,20005,20005,1.000000
678.1000,20005,20005,1.000000
678.1167,20005,20005,1.000000
678.1333,20005,20005,1.000000
678.1500,20005,20005,1.000000
678.1667,20005,20005,1.000000
678.1833,20005,20005,1.000000
678.2000,20005,20005,1.000000
678.2167,20005,20005,1.000000
678.2333,20005,20005,1.000000
678.2500,20005,20005,1.000000
678.2667,20005,20005,1.000000
678.2833,20005,20005,1.000000
678.3000,20005,20005,1.000000
678.3167,20005,20005,1.000000
678.3333,20005,20005,1.000000
678.3500,20005,20005,1.000000
678.3667,20005,20005,1.000000
678.3833,20005,20005,1.000000
678.4000,20005,20005,1.000000
678.4167,20005,20005,1.000000
678.4333,20005,20005,1.000000
678.4500,20005,20005,1.000000
678.4667,20005,20005,1.000000
678.4833,20005,20005,1.000000
678.5000,20005,20005,1.000000
678.5167,20005,20005,1.000000
678.5333,20005,20005,1.000000
678.5500,20005,20005,1.000000
678.5667,20005,20005,1.000000
678.5833,20005,20005,1.000000
678.6000,20005,20005,1.000000
678.6167,20005,20005,1.000000
678.6333,20005,20005,1.000000
678.6500,20005,20005,1.000000
678.6667,20005,20005,1.000000
678.6833,20005,20005,1.000000
678.7000,20005,20005,1.000000
678.7167,20005,20005,1.000000
678.7333,20005,20005,1.000000
678.7500,20005,20005,1.000000
678.7667,20005,20005,1.000000
678.7833,20005,20005,1.000000
678.8000,20005,20005,1.000000
678.8167,20005,20005,1.000000
678.8333,20005,20005,1.000000
678.8500,20005,20005,1.000000
678.8667,20005,20005,1.000000
678.8833,20005,20005,1.000000
678.9000,20005,20005,1.000000
678.9167,20005,20005,1.000000
678.9333,20005,20005,1.000000
678.9500,20005,20005,1.000000
678.9667,20005,20005,1.000000
678.9833,20005,20005,1.000000
679.0000,20005,20005,1.000000
679.0167,20005,20005,1.000000
679.0333,20005,20005,1.000000
679.0500,20005,20005,1.000000
679.0667,20005,20005,1.000000
679.0833,20005,20005,1.000000
679.1000,20005,20005,1.000000
679.1167,20005,20005,1.000000
679.1333,20005,20005,1.000000
679.1500,20005,20005,1.000000
679.1667,20005,20005,1.000000
679.1833,20005,20005,1.000000
679.2000,20005,20005,1.000000
679.2167,20005,20005,1.000000
679.2333,20005,20005,1.000000
679.2500,20005,20005,1.000000
679.2667,20005,20005,1.000000
679.2833,20005,20005,1.000000
679.3000,20005,20005,1.000000
679.3167,20005,20005,1.000000
679.3333,20005,20005,1.000000
679.3500,20005,20005,1.000000
679.3667,20005,20005,1.000000
679.3833,20005,20005,1.000000
679.4000,20005,20005,1.000000
679.4167,20005,20005,1.000000
679.4333,20005,20005,1.000000
679.4500,20005,20005,1.000000
679.4667,20005,20005,1.000000
679.4833,20005,20005,1.000000
679.5000,20005,20005,1.000000
679.5167,20005,20005,1.000000
679.5333,20005,20005,1.000000
679.5500,20005,20005,1.000000
679.5667,20005,20005,1.000000
679.5833,20005,20005,1.000000
679.6000,20005,20005,1.000000
679.6167,20005,20005,1.000000
679.6333,20005,20005,1.000000
679.6500,20005,20005,1.000000
679.6667,20005,20005,1.000000
679.6833,20005,20005,1.000000
679.7000,20005,20005,1.000000
679.7167,20005,20005,1.000000
679.7333,20005,20005,1.000000
679.7500,20005,20005,1.000000
679.7667,20005,20005,1.000000
679.7833,20005,20005,1.000000
679.8000,20005,20005,1.000000
679.8167,20005,20005,1.000000
679.8333,20005,20005,1.000000
679.8500,20005,20005,1.000000
679.8667,20005,20005,1.000000
679.8833,20005,20005,1.000000
679.9000,20005,20005,1.000000
679.9167,20005,20005,1.000000
679.9333,20005,20005,1.000000
679.9500,20005,20005,1.000000
679.9667,20005,20005,1.000000
679.9833,20005,20005,1.000000
680.0000,20005,20005,1.000000
680.0167,20005,20005,1.000000
680.0333,20005,20005,1.000000
680.0500,20005,20005,1.000000
680.0667,20005,20005,1.000000
680.0833,20005,20005,1.000000
680.1000,20005,20005,1.000000
680.1167,20005,20005,1.000000
680.1333,20005,20005,1.000000
