kit_id,median_displacement,pct_of_diameter
chr-arrow-storm-warden,0.0776031240989084,1.7579256497090314
chr-bee-warden,0.1269347024738154,2.875422502739723
chr-bleed-berserker,0.14941669964226056,3.384701992940705
chr-bloodbinder-warlock,0.17247770672390278,3.9070976609974593
chr-crown-proc-engine,0.1132148394459695,2.5646296138296725
chr-demon-legion-warlock,0.18614511971978734,4.216702411445515
chr-fire-berserker,0.16619960380271181,3.764881245294808
chr-firestorm-warlock,0.1826576604515886,4.137701801984635
chr-frost-berserker,0.102002335165645,2.3106353436153375
chr-fulmination-templar,0.17242665391295137,3.9059411734603486
chr-high-ranger-warden,0.1781818380319093,4.036312030291054
chr-mechanist-rocketeer,0.1836428862536077,4.160019894564479
chr-mechanist-saw-master,0.22167563010312635,5.021566858275218
chr-mechanist-turret-drone,0.09159927425568636,2.0749772071491672
chr-pet-warden,0.1881507604853962,4.262135728556204
chr-plague-curse-warlock,0.3493346355807819,7.9133968297012425
chr-thorns-templar,0.16563900431056855,3.7521821144557395
d2-auradin,0.2038750108946785,4.618333541954724
d2-avenger,0.1046509619010346,2.370634073417917
d2-berserker,0.09089432099302841,2.059008063681528
d2-blizzard-sorc,0.14575588819472876,3.30177447659275
d2-bonemancer,0.1752237456848229,3.9693030474500612
d2-bowazon,0.21602843788606835,4.893642317060219
d2-bvc,0.16090122661742995,3.6448583304445132
d2-charger,0.13729053045681858,3.110010682618836
d2-conc-barb,0.11141492509606216,2.523856569706492
d2-daggermancer,0.10943276206578552,2.478955088312687
d2-enchantress,0.11203404631042355,2.5378813796048374
d2-fire-druid,0.125053147935958,2.832800082291673
d2-fire-sorc,0.11343053085031238,2.5695156214037085
d2-fireclaw-wolf,0.11233210904689225,2.544633325943917
d2-firewall-sorc,0.23542824803989962,5.333101736573273
d2-fishyzon,0.16629735169271462,3.7670955056746074
d2-fohdin,0.09360840122044828,2.12048949632422
d2-frenzy-barb,0.12978026556542216,2.9398823863421573
d2-frost-bowazon,0.11542828961271995,2.614770389316031
d2-frozen-orb-sorc,0.20840115557669112,4.7208632522362715
d2-fury-wolf,0.17542560198537352,3.9738756516127625
d2-ghost-pvp,0.16755126245523072,3.7955000566185078
d2-hammerdin,0.21855103801149006,4.950786195169895
d2-horker,0.14956763252407096,3.3881210406581763
d2-hydra-sorc,0.08578348872689223,1.943233560575825
d2-javazon,0.20853607383541645,4.723919524395173
d2-kicksin,0.15518680520176298,3.51541086171833
d2-lightning-sorc,0.1802952952879484,4.084187689461933
d2-maul-bear,0.1945056535361522,4.40609165333113
d2-meteorb,0.15130512042704308,3.4274799528947626
d2-mosaic-sin,0.20940948605291546,4.743704729665438
d2-nova-sorc,0.10117611229533452,2.2919191077297327
d2-poison-javazon,0.09891226010399735,2.240636586819501
d2-poison-nova-necro,0.13450941370857555,3.0470106871503475
d2-rabies-wolf,0.22727134809563473,5.148325365768181
d2-singer,0.1335058269651338,3.0242766684044575
d2-smiter,0.15711380022275886,3.5590626349375722
d2-summon-druid,0.16409701849901828,3.717251865949807
d2-summonmancer,0.1326695146369528,3.005331878359621
d2-throw-barb,0.15340726072965982,3.4750992517331327
d2-trapsin,0.11393220715215593,2.5808799788197567
d2-wind-druid,0.17415952744354674,3.945195557385058
d2-wl-abyss,0.15358117086906892,3.4790387979609636
