kit_id,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,leiden_cluster,lca_class,franchise_rollup,gateA_group
chr-arrow-storm-warden,0.35314080198857917,0.33982865985983574,-0.1752358401939203,0.014913417949587242,-0.07759837079679004,-0.4517596680189037,-0.20442867408437967,-0.13384780661576332,0.46687163053207853,-0.023936032718541046,0.033258640313104965,-0.04951067686271986,0.10859717604969929,-0.2279794828668446,98,0,chronicon,
chr-bee-warden,0.08722598465644711,-0.5254486200555104,-0.18644359379798237,-0.42052338147757296,0.22142601266909756,-0.3397262509177043,-0.39332462750205277,-0.10123414281495245,0.30618390983953553,0.1943211178178477,-0.04729931010460858,-0.15155615066866285,0.2121155324609302,-0.1849343495367075,3,1,chronicon,
chr-bleed-berserker,-0.1571875636180207,-0.09462302872076907,-0.11305592164560067,0.35886103236180067,0.15942858275560956,0.12024190505747188,0.4844575011682141,-0.0905749913804864,0.21721329607891757,-0.07942287789718121,0.25402932689584756,-0.1365804908012578,0.32490576772570695,-0.22376436074560455,29,2,chronicon,
chr-bloodbinder-warlock,0.07121311132379916,-0.31746624169480475,-0.12885779323160979,-0.2437613880227008,0.2713481168045106,-0.28135287023815103,-1.028480111309404,0.17416063269141097,0.1876596543873402,0.535304842105403,0.1192082112373648,-0.47696679745571224,-0.08021473811689298,-0.38036838645344273,3,1,chronicon,
chr-crown-proc-engine,0.20882266997095686,0.5737400422484961,-0.13742243777708346,0.22668869480791579,0.11944166250428281,0.29178768593223375,-0.44244794924381675,-0.7574813469541685,0.5917268619168273,-0.25953983118236523,0.25944346848115624,0.17655998295224487,-0.20470422953772374,0.4007877560522081,10,0,chronicon,TRAP-MINE
chr-demon-legion-warlock,0.07048177952022713,-1.103770490259722,-0.22843145161012438,-0.7440286746748606,0.7358971570311752,-0.3581408674059356,-0.7935472426506388,0.0252343028302924,0.4953049857063106,0.49540426556025813,0.19120140858066303,0.46941897975076063,0.5513524794832907,-0.3058036133795355,3,1,chronicon,MINION-PET
chr-fire-berserker,-0.016080830350049667,-0.15422504602627948,-0.009230079413524632,0.8178318858853938,-0.020241477885316477,0.007648258006229875,-0.8408338102207522,-0.19055566857092088,0.7422937290734276,0.6481911437748018,-0.5646456226633951,-0.6217763636228294,-0.3667062081233579,-0.31996983841094084,79,1,chronicon,TRAP-MINE
chr-firestorm-warlock,-0.32994791800457796,0.2837177797778366,0.24016824988706761,0.21454345177419545,-0.054839068047917314,0.44579818589348125,-0.30299393878189,-0.32347331014714653,0.21412667980712716,-0.22258810318059963,0.04758278993379364,-0.15564128659592313,-0.13089446531555626,0.1398929702571357,83,2,chronicon,TRAP-MINE
chr-frost-berserker,-0.319949378507568,0.01681530633569073,0.23303322301995646,0.15396812884848843,0.030677069719757838,0.05302604836078407,0.10863330503964289,0.2971408118427029,-0.25531919387165436,-0.07926948843517155,-0.10875640538564846,0.325507639180724,0.385106610109582,0.2404240498637099,19,2,chronicon,
chr-fulmination-templar,-0.34109751036089864,-0.11758951173782914,0.1052744352971499,0.6852877590136425,0.03214318893833944,0.5176585508462819,0.2866527573799767,-0.49933069072384534,0.6183688228775286,-0.5074097121474702,0.2633006460686021,-0.47446674070002237,0.010678209804393959,-0.6323511764447349,18,2,chronicon,TRAP-MINE
chr-high-ranger-warden,0.1156367438441091,0.4639504541437834,-0.2536910918079525,-0.07830321821300776,0.054638204164921295,-0.20453635386982588,-0.030579688881424053,-0.44010053582368114,0.33747736142480445,-0.02189097644705438,0.2843156860326088,0.22325273188843403,0.04488684815764207,0.33467793827644715,16,0,chronicon,
chr-mechanist-rocketeer,0.14055110495711617,0.004592892504115729,0.203294549749896,-0.1060645237010295,-0.044388620567847994,-0.648199290651587,-0.006626955633140738,0.3024864355683552,0.8747776727454178,0.21753054354581827,-0.2312818900566027,0.005999336998073646,0.19651735748787774,0.3434060774435883,26,0,chronicon,
