frame,t_sec,wave,hp,health_max,deficit,delta_hp
170,685.8333,151,20005,20005,0,0
171,685.85,151,20005,20005,0,0
172,685.8667,151,20005,20005,0,0
173,685.8833,151,20005,20005,0,0
174,685.9,151,20005,20005,0,0
175,685.9167,151,20005,20005,0,0
176,685.9333,151,20005,20005,0,0
177,685.95,151,20005,20005,0,0
178,685.9667,151,20005,20005,0,0
179,685.9833,151,20005,20005,0,0
180,686.0,151,20005,20005,0,0
181,686.0167,151,20005,20005,0,0
182,686.0333,151,20005,20005,0,0
183,686.05,151,20005,20005,0,0
184,686.0667,151,20005,20005,0,0
185,686.0833,151,20005,20005,0,0
186,686.1,151,20005,20005,0,0
187,686.1167,151,20005,20005,0,0
188,686.1333,151,20005,20005,0,0
189,686.15,151,20005,20005,0,0
190,686.1667,151,20005,20005,0,0
191,686.1833,151,20005,20005,0,0
192,686.2,151,20005,20005,0,0
193,686.2167,151,20005,20005,0,0
194,686.2333,151,20005,20005,0,0
195,686.25,151,20005,20005,0,0
196,686.2667,151,20005,20005,0,0
197,686.2833,151,20005,20005,0,0
198,686.3,151,20005,20005,0,0
199,686.3167,151,20005,20005,0,0
200,686.3333,151,20005,20005,0,0
201,686.35,151,20005,20005,0,0
202,686.3667,151,20005,20005,0,0
203,686.3833,151,20005,20005,0,0
204,686.4,151,20005,20005,0,0
205,686.4167,151,20005,20005,0,0
206,686.4333,151,20005,20005,0,0
207,686.45,151,20005,20005,0,0
208,686.4667,151,20005,20005,0,0
209,686.4833,151,20005,20005,0,0
210,686.5,151,20005,20005,0,0
211,686.5167,151,20005,20005,0,0
212,686.5333,151,20005,20005,0,0
213,686.55,151,20005,20005,0,0
214,686.5667,151,20005,20005,0,0
215,686.5833,151,20005,20005,0,0
216,686.6,151,20005,20005,0,0
217,686.6167,151,20005,20005,0,0
218,686.6333,151,20005,20005,0,0
219,686.65,151,20005,20005,0,0
220,686.6667,151,20005,20005,0,0
221,686.6833,151,20005,20005,0,0
222,686.7,151,20005,20005,0,0
223,686.7167,151,20005,20005,0,0
224,686.7333,151,20005,20005,0,0
225,686.75,151,20005,20005,0,0
226,686.7667,151,20005,20005,0,0
227,686.7833,151,20005,20005,0,0
228,686.8,151,20005,20005,0,0
229,686.8167,151,20005,20005,0,0
230,686.8333,151,20005,20005,0,0
231,686.85,151,20005,20005,0,0
232,686.8667,151,20005,20005,0,0
233,686.8833,151,20005,20005,0,0
234,686.9,151,20005,20005,0,0
235,686.9167,151,20005,20005,0,0
236,686.9333,151,20005,20005,0,0
237,686.95,151,20005,20005,0,0
238,686.9667,151,20005,20005,0,0
239,686.9833,151,20005,20005,0,0
240,687.0,151,20005,20005,0,0
241,687.0167,151,20005,20005,0,0
242,687.0333,151,20005,20005,0,0
243,687.05,151,20005,20005,0,0
244,687.0667,151,20005,20005,0,0
245,687.0833,151,20005,20005,0,0
246,687.1,151,20005,20005,0,0
247,687.1167,151,20005,20005,0,0
248,687.1333,151,20005,20005,0,0
249,687.15,151,20005,20005,0,0
250,687.1667,151,20005,20005,0,0
251,687.1833,151,20005,20005,0,0
252,687.2,151,20005,20005,0,0
253,687.2167,151,20005,20005,0,0
254,687.2333,151,20005,20005,0,0
255,687.25,151,20005,20005,0,0
256,687.2667,151,20005,20005,0,0
257,687.2833,151,20005,20005,0,0
258,687.3,151,20005,20005,0,0
