id,mean_v,mean_s,dark_desat,flatcols,flatrows,L_dark,L_v,R_dark,R_v,delta_min,mtime,bytes
40,0.25412970781326294,0.40146708488464355,0.39,0.14375,0.06111111111111111,0.3090625,0.3020385503768921,0.4709375,0.2062208652496338,12.708524305555555,1785096231.2527099,3843870
41,0.20646385848522186,0.3584597110748291,0.5240798611111112,0.090625,0.07777777777777778,0.48381944444444447,0.2421225607395172,0.5643402777777777,0.1708051562309265,4.944369212962963,1785096241.9662404,3749844
42,0.21890762448310852,0.36281001567840576,0.5227604166666666,0.165625,0.07222222222222222,0.48163194444444446,0.2516883611679077,0.5638888888888889,0.1861269176006317,4.0830671296296295,1785096247.9852269,3777760
43,0.21332122385501862,0.35013309121131897,0.5352083333333333,0.15625,0.06666666666666667,0.4687847222222222,0.25691723823547363,0.6016319444444445,0.169725239276886,2.7877604166666665,1785096255.583235,3789269
44,0.21179141104221344,0.3510906994342804,0.5353993055555556,0.159375,0.06666666666666667,0.4695138888888889,0.2548183798789978,0.6012847222222222,0.16876444220542908,2.7877604166666665,1785096260.1900103,3758266
45,0.21710118651390076,0.35436397790908813,0.5371875,0.15625,0.06111111111111111,0.4642013888888889,0.25457897782325745,0.6101736111111111,0.17962338030338287,3.0522974537037038,1785096271.883522,3770654
46,0.21463778614997864,0.35113272070884705,0.5339236111111111,0.1625,0.06111111111111111,0.4580208333333333,0.25881004333496094,0.6098263888888888,0.17046557366847992,3.006255787037037,1785096275.9455526,3790261
47,0.2212788164615631,0.35210368037223816,0.5235069444444445,0.121875,0.06111111111111111,0.4495138888888889,0.2629994750022888,0.5975,0.1795581579208374,3.006255787037037,1785096280.616606,3814339
48,0.21724320948123932,0.352798193693161,0.5232465277777778,0.140625,0.06111111111111111,0.455,0.25904521346092224,0.5914930555555555,0.175441175699234,2.845578703703704,1785096289.8300288,3815921
49,0.22119642794132233,0.35194650292396545,0.5259375,0.13125,0.06111111111111111,0.45086805555555554,0.263589471578598,0.6010069444444445,0.17880338430404663,2.845578703703704,1785096294.5044994,3801842
50,0.22413848340511322,0.3566705882549286,0.5139756944444445,0.125,0.05555555555555555,0.4418402777777778,0.26591190695762634,0.5861111111111111,0.1823650747537613,2.9269560185185184,1785096302.7473013,3809571
51,0.21947401762008667,0.3541032671928406,0.5261284722222223,0.134375,0.05,0.4442361111111111,0.2613544464111328,0.6080208333333333,0.17759357392787933,2.9269560185185184,1785096306.228259,3787112
52,0.22063972055912018,0.3471815884113312,0.5267013888888888,0.1,0.05555555555555555,0.4330555555555556,0.2694338262081146,0.6203472222222223,0.17184560000896454,3.1314583333333332,1785096310.1475594,3810823
53,0.2311132252216339,0.366259902715683,0.4874131944444444,0.096875,0.044444444444444446,0.43020833333333336,0.2726104259490967,0.5446180555555555,0.18961603939533234,3.52484375,1785096312.9306352,3848578
54,0.26846590638160706,0.37178266048431396,0.42258680555555556,0.003125,0.0,0.3612152777777778,0.27577656507492065,0.4839583333333333,0.26115524768829346,2.3683738425925926,1785096721.0989623,4057878
55,0.26836636662483215,0.3771442472934723,0.41296875,0.003125,0.0,0.36006944444444444,0.2731093466281891,0.46586805555555555,0.26362335681915283,2.0230960648148146,1785096725.4946644,4060223
56,0.27004119753837585,0.3783360421657562,0.4098090277777778,0.003125,0.0,0.3567361111111111,0.2752803862094879,0.46288194444444447,0.2648020386695862,2.0230960648148146,1785096751.8476973,4063666
57,0.26965251564979553,0.3751949667930603,0.41607638888888887,0.0,0.0,0.3565277777777778,0.27634397149086,0.475625,0.26296108961105347,1.8343460648148149,1785096762.7676308,4058125
58,0.2698792517185211,0.37476208806037903,0.4169965277777778,0.003125,0.0,0.35597222222222225,0.2760713994503021,0.47802083333333334,0.2636871039867401,1.8343460648148149,1785096767.673455,4067800
59,0.27027949690818787,0.3753070831298828,0.41522569444444446,0.003125,0.0,0.3545833333333333,0.27682095766067505,0.47586805555555556,0.2637380361557007,1.9060069444444445,1785096771.792451,4059863
60,0.26975518465042114,0.3739571273326874,0.4167013888888889,0.003125,0.0,0.35510416666666667,0.27682259678840637,0.4782986111111111,0.2626877725124359,2.052997685185185,1785096775.462298,4052501
61,0.27216464281082153,0.37425002455711365,0.4170138888888889,0.003125,0.0,0.35444444444444445,0.2766823470592499,0.4795833333333333,0.2676469385623932,2.235358796296296,1785096784.8633337,4068101
62,0.2728912830352783,0.37413373589515686,0.4156944444444444,0.0,0.0,0.35368055555555555,0.2801833152770996,0.47770833333333335,0.2655993103981018,1.9746064814814814,1785096789.88192,4070212
63,0.27285370230674744,0.3741200864315033,0.4159201388888889,0.0,0.0,0.3537152777777778,0.2794974446296692,0.478125,0.26620998978614807,1.9746064814814814,1785096793.681045,4077603
64,0.27201083302497864,0.3742123544216156,0.4153645833333333,0.003125,0.0,0.3536111111111111,0.27991628646850586,0.47711805555555553,0.2641054093837738,2.075717592592593,1785096803.179762,4067725
65,0.2705670893192291,0.3739020526409149,0.41609375,0.003125,0.0,0.35302083333333334,0.2780900299549103,0.4791666666666667,0.2630441188812256,2.075717592592593,1785096807.6118894,4055185
66,0.2700861990451813,0.37406665086746216,0.41765625,0.003125,0.0,0.3544097222222222,0.27667540311813354,0.4809027777777778,0.263496994972229,1.6814004629629629,1785096811.1610253,4057370
67,0.27390170097351074,0.3735518455505371,0.41725694444444444,0.003125,0.0,0.3548611111111111,0.28019267320632935,0.47965277777777776,0.26761069893836975,1.6814004629629629,1785096816.8979356,4077502
68,0.26156559586524963,0.3470023572444916,0.44418402777777777,0.00625,0.027777777777777776,0.3488541666666667,0.28483933210372925,0.5395138888888888,0.23829182982444763,13.490925925925925,1785096824.07099,3864036
69,0.3008772134780884,0.3705281615257263,0.3807465277777778,0.00625,0.005555555555555556,0.28274305555555557,0.3257777988910675,0.47875,0.27597659826278687,4.287783564814815,1785097265.963495,4177575
70,0.2918168008327484,0.3633526563644409,0.3945138888888889,0.00625,0.005555555555555556,0.2926736111111111,0.31773409247398376,0.49635416666666665,0.26589950919151306,2.753113425925926,1785097270.559905,4131276
71,0.2893785834312439,0.36405789852142334,0.39675347222222224,0.00625,0.005555555555555556,0.29388888888888887,0.31344881653785706,0.49961805555555555,0.2653084397315979,2.7305555555555556,1785097275.1569302,4126029
72,0.2894032895565033,0.36446821689605713,0.39675347222222224,0.009375,0.005555555555555556,0.29388888888888887,0.3144814670085907,0.49961805555555555,0.2643250524997711,2.7305555555555556,1785097278.4825616,4121360
73,0.2933431565761566,0.3626447319984436,0.3944270833333333,0.00625,0.005555555555555556,0.29347222222222225,0.31912487745285034,0.49538194444444444,0.2675614356994629,2.82640625,1785097283.310819,4129313
74,0.2937397062778473,0.36080434918403625,0.39522569444444444,0.00625,0.005555555555555556,0.2930902777777778,0.31763768196105957,0.4973611111111111,0.26984164118766785,2.8534201388888887,1785097286.914266,4123462
75,0.28974658250808716,0.35916778445243835,0.3997395833333333,0.00625,0.005555555555555556,0.3001388888888889,0.3152267336845398,0.4993402777777778,0.26426637172698975,3.344519675925926,1785097289.6609263,4117839
76,0.29414916038513184,0.36116456985473633,0.3949479166666667,0.009375,0.005555555555555556,0.29444444444444445,0.31548434495925903,0.4954513888888889,0.2728140354156494,2.7760127314814813,1785097299.3560417,4131090
77,0.2914133369922638,0.3619714379310608,0.39586805555555554,0.003125,0.005555555555555556,0.29520833333333335,0.314177542924881,0.4965277777777778,0.2686491310596466,2.568483796296296,1785097301.545275,4133472
